permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2013-09623,Completed,2013-07-08T00:00:00.000,2013-07-23T00:00:00.000,2014-01-31T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,DECK,PORCH,",VANITY HOMES,VANITY HOMES,1,246089.8,1678,248 SADDLELAKE DR NE,SAD,SADDLE RIDGE,51.12736095642616,-113.93417287574859,2,Titled Parcel;Building,248 SADDLELAKE DR NE;248 SADDLELAKE DR NE,"MULTIPOINT (-113.93417287574859 51.12736095642616,-113.93403147676749 51.12735784725675)","{""type"":""MultiPoint"",""coordinates"":[[-113.9341729,51.127361],[-113.9340315,51.1273578]]}","{'type': 'Point', 'coordinates': [-113.93417287574859, 51.12736095642616]}",11,4,2,1,86,5
BP2024-19255,Completed,2024-09-11T00:00:00.000,2024-10-09T00:00:00.000,2025-04-16T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,PORCH,",GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,1,239531.01,1319,380 HOMESTEAD GV NE,HSD,HOMESTEAD,51.121259209484535,-113.91649673616925,2,Titled Parcel;Building,380 HOMESTEAD GV NE;380 HOMESTEAD GV NE,"MULTIPOINT (-113.91649673616925 51.121259209484535,-113.91629820384573 51.12127310035102)","{""type"":""MultiPoint"",""coordinates"":[[-113.9164967,51.1212592],[-113.9162982,51.1212731]]}","{'type': 'Point', 'coordinates': [-113.91649673616925, 51.121259209484535]}",11,4,164,1,144,5
BP2025-05639,Pre Backfill Phase,2025-04-01T00:00:00.000,2025-04-16T00:00:00.000,,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,DECK,PORCH,SSuite",GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,1,262462.01,1687,126R KEYSTONE CREEK PL NE,KSH,KEYSTONE HILLS,51.18193545257666,-114.02135194116374,2,Building;Building Suite,126 KEYSTONE CREEK PL NE;126R KEYSTONE CREEK PL NE,"MULTIPOINT (-114.02135194116374 51.18193545257666,-114.02126510648507 51.18196294036729)","{""type"":""MultiPoint"",""coordinates"":[[-114.0213519,51.1819355],[-114.0212651,51.1819629]]}","{'type': 'Point', 'coordinates': [-114.02135194116374, 51.18193545257666]}",11,4,243,12,166,3
BP2023-10028,Completed,2023-06-26T00:00:00.000,2023-11-16T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,3 unit Rowhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,3,576812.7,,847 CARRINGTON BV NW,CAR,CARRINGTON,51.178628440894386,-114.08025209018741,3,Titled Parcel;Titled Parcel;Titled Parcel,847 CARRINGTON BV NW;839 CARRINGTON BV NW;843 CARRINGTON BV NW,"MULTIPOINT (-114.08025209018741 51.178628440894386,-114.08006034485867 51.178628572258994,-114.08015621037228 51.17862850662087)","{""type"":""MultiPoint"",""coordinates"":[[-114.0802521,51.1786284],[-114.0800603,51.1786286],[-114.0801562,51.1786285]]}","{'type': 'Point', 'coordinates': [-114.08025209018741, 51.178628440894386]}",11,2,242,12,159,3
BP2023-11936,Completed,2023-07-25T00:00:00.000,2023-08-03T00:00:00.000,2024-02-27T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,PORCH,SSuite",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,357666.77,2242,85B MALLARD GV SE,RVW,RANGEVIEW,50.87146078384628,-113.92522347404321,3,Titled Parcel;Building;Building Suite,85 MALLARD GV SE;85 MALLARD GV SE;85B MALLARD GV SE,"MULTIPOINT (-113.92522347404321 50.87146078384628,-113.92502021552518 50.87143625459305,-113.9249894347325 50.87140517435714)","{""type"":""MultiPoint"",""coordinates"":[[-113.9252235,50.8714608],[-113.9250202,50.8714363],[-113.9249894,50.8714052]]}","{'type': 'Point', 'coordinates': [-113.92522347404321, 50.87146078384628]}",4,3,222,8,210,12
BP2023-20704,Completed,2023-11-30T00:00:00.000,2024-01-08T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Floor 28 Executive Interior alterations,COUGAR CONTRACTORS,COUGAR CONTRACTORS,0,96078,,#2800 300 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04868831367562,-114.06862587469398,6,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite,316 5 AV SW;308 5 AV SW;312 5 AV SW;300 5 AV SW;300 5 AV SW;#2800 300 5 AV SW,"MULTIPOINT (-114.06862587469398 51.04868831367562,-114.06818828230905 51.048671453339416,-114.06841541305741 51.048678898953725,-114.06800073563237 51.04866906345746,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486)","{""type"":""MultiPoint"",""coordinates"":[[-114.0686259,51.0486883],[-114.0681883,51.0486715],[-114.0684154,51.0486789],[-114.0680007,51.0486691],[-114.0683105,51.0488344],[-114.0683105,51.0488344]]}","{'type': 'Point', 'coordinates': [-114.06862587469398, 51.04868831367562]}",7,1,262,7,130,7
BP2024-02686,Issued Permit,2024-02-16T00:00:00.000,2024-02-22T00:00:00.000,,Residential Improvement Project,Building,1401 - Basement Development,Two Family,Residential,Alteration,Improvement,Existing,Basement Dev,,,0,25620.8,,8021 MASTERS BV SE,MAH,MAHOGANY,50.89516223164179,-113.91758658022867,2,Titled Parcel;Building,8021 MASTERS BV SE;8021 MASTERS BV SE,"MULTIPOINT (-113.91758658022867 50.89516223164179,-113.91753773856136 50.89507326840532)","{""type"":""MultiPoint"",""coordinates"":[[-113.9175866,50.8951622],[-113.9175377,50.8950733]]}","{'type': 'Point', 'coordinates': [-113.91758658022867, 50.89516223164179]}",4,3,116,8,209,12
BP2024-23770,Cancelled,2024-11-08T00:00:00.000,,2024-12-23T00:00:00.000,Commercial / Multi Family Project,Building,5299 - Medical Misc.,Institutional,Non-Residential,Alteration,Improvement,Existing,,MOEL LIVING,,0,,,112 EDITH PL NW,GLR,GLACIER RIDGE,51.1850048583885,-114.16374024065158,2,Titled Parcel;Building,112 EDITH PL NW;112 EDITH PL NW,"MULTIPOINT (-114.16374024065158 51.1850048583885,-114.16359532209906 51.185035508619805)","{""type"":""MultiPoint"",""coordinates"":[[-114.1637402,51.1850049],[-114.1635953,51.1850355]]}","{'type': 'Point', 'coordinates': [-114.16374024065158, 51.1850048583885]}",3,2,225,10,163,2
BP2025-06771,Pre Backfill Phase,2025-04-16T00:00:00.000,2025-05-08T00:00:00.000,,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,FIREPLACE,DECK,PORCH,SSuite",ROCKY BEAR HOMES,ROCKY BEAR HOMES,1,245793,2126,2300 6 ST NE,WIN,WINSTON HEIGHTS/MOUNTVIEW,51.07239787139158,-114.04814663559164,2,Titled Parcel;Building,2302 6 ST NE;2300 6 ST NE,"MULTIPOINT (-114.04814663559164 51.07239787139158,-114.0479873366006 51.07233039734181)","{""type"":""MultiPoint"",""coordinates"":[[-114.0481466,51.0723979],[-114.0479873,51.0723304]]}","{'type': 'Point', 'coordinates': [-114.04814663559164, 51.07239787139158]}",10,4,88,7,244,4
BP2024-20102,Cancelled,2024-09-21T00:00:00.000,,2025-08-21T00:00:00.000,Residential Improvement Project,Building,1201 - Private Swimming Pool,Swimming Pool,Residential,New,New,New,Accessory Building,,,0,,,93 EVERHOLLOW AV SW,EVE,EVERGREEN,50.916308736330826,-114.11907759834614,2,Titled Parcel;Building,93 EVERHOLLOW AV SW;93 EVERHOLLOW AV SW,"MULTIPOINT (-114.11907759834614 50.916308736330826,-114.11908427520295 50.916200050187314)","{""type"":""MultiPoint"",""coordinates"":[[-114.1190776,50.9163087],[-114.1190843,50.9162001]]}","{'type': 'Point', 'coordinates': [-114.11907759834614, 50.916308736330826]}",5,1,39,6,252,13
